pdb	RMSD_orig	RMSD_alt	pLDDT
4NMUD_045_1.pdb	1.363	3.790	85.484
4NMUD_000_1.pdb	1.260	3.671	93.530
3KCMA_061_1.pdb	2.956	4.503	88.206
3U5RE_1.pdb	1.277	5.400	92.469
6MZA_184_1.pdb	0.757	0.484	75.958
3OR5A_108_1.pdb	2.044	2.772	75.300
3C71A_050_1.pdb	13.649	7.296	60.214
2L57_020_1.pdb	12.009	11.616	38.916
1LU4_124_1.pdb	0.271	1.767	92.070
3U5RE_096_1.pdb	1.487	9.084	62.388
2LS5A_080_1.pdb	3.150	9.160	60.552
5UM7B_060_1.pdb	1.612	7.335	79.959
3C71A_015_1.pdb	10.226	8.557	49.605
2L57_065_1.pdb	2.174	2.754	85.684
1LU4_161_1.pdb	3.503	1.506	49.872
5UM7B_025_1.pdb	1.665	6.992	79.429
3GL5_119_1.pdb	10.559	11.303	80.719
2OKA_124_1.pdb	7.003	5.584	46.728
4NMUD_078_1.pdb	1.273	3.591	88.733
3KCMA_019_1.pdb	3.185	4.566	89.823
3GL3D_113_1.pdb	7.395	3.864	52.589
3OR5A_135_1.pdb	1.102	2.686	86.346
3GL3D_156_1.pdb	2.494	8.588	67.047
3OR5A_170_1.pdb	2.042	2.503	60.068
6MZA_144_1.pdb	0.681	0.467	80.933
6MZA_101_1.pdb	0.712	0.421	80.271
3PH9_018_1.pdb	8.383	9.165	73.579
4EUY_118_1.pdb	4.640	4.604	47.602
3IOSA_150_1.pdb	0.765	1.530	87.879
4NMUD_085_1.pdb	1.262	3.822	86.413
3IOSA_115_1.pdb	0.716	1.693	91.615
1KNGA_126_1.pdb	5.503	13.823	38.129
1KNGA_163_1.pdb	5.335	3.705	49.915
2LS5A_038_1.pdb	9.584	10.385	36.059
3W8J_115_1.pdb	13.163	12.104	35.469
3W8J_150_1.pdb	7.064	7.067	48.039
2EC4_011_1.pdb	3.715	4.518	51.358
4EUY_005_1.pdb	5.410	5.352	85.723
3IOSA_008_1.pdb	0.781	1.739	94.564
4EUY_040_1.pdb	5.488	5.429	88.841
2EC4_054_1.pdb	3.712	4.525	37.790
6MZA_059_1.pdb	0.825	0.611	65.469
3OR5A_090_1.pdb	5.711	6.759	44.084
3W8J_008_1.pdb	3.725	3.819	91.818
3U5RE_133_1.pdb	2.906	11.690	43.070
1LU4_081_1.pdb	0.205	1.920	93.049
3U5RE_176_1.pdb	3.175	8.896	48.185
2OKA_081_1.pdb	6.402	6.060	75.390
1KNGA_083_1.pdb	5.268	7.600	47.846
3GL5_004_1.pdb	9.961	11.867	80.007
2OKA_039_1.pdb	7.147	6.179	70.734
3GL5_041_1.pdb	10.060	11.700	82.431
1LU4_039_1.pdb	0.420	1.672	87.352
5UM7B_138_1.pdb	12.361	13.325	51.527
3C71A_108_1.pdb	14.457	6.538	42.443
3OR5A_028_1.pdb	2.879	4.391	57.246
4NMUD_120_1.pdb	1.392	3.804	88.852
3KCMA_141_1.pdb	5.154	6.011	65.070
3KCMA_104_1.pdb	4.560	4.639	56.017
4NMUD_165_1.pdb	1.618	3.505	76.183
1KNGA_124_1.pdb	9.134	5.445	64.251
1KNGA_161_1.pdb	9.189	5.570	62.004
3W8J_117_1.pdb	10.312	11.429	38.408
3U5RE_069_1.pdb	2.068	6.251	71.892
3W8J_152_1.pdb	4.629	4.466	71.703
6MZA_146_1.pdb	0.874	0.590	71.552
6MZA_103_1.pdb	0.806	0.522	82.432
4NMUD_087_1.pdb	1.475	3.676	85.294
3IOSA_152_1.pdb	1.446	1.186	73.359
3IOSA_117_1.pdb	0.892	1.842	82.191
3GL3D_111_1.pdb	2.128	8.295	69.361
3OR5A_137_1.pdb	10.517	9.376	42.510
3GL3D_154_1.pdb	5.865	5.700	47.653
3OR5A_172_1.pdb	3.152	2.202	55.998
3C71A_052_1.pdb	13.453	13.843	46.073
2L57_022_1.pdb	2.029	2.782	78.014
3U5RE_094_1.pdb	12.023	9.759	47.123
1LU4_126_1.pdb	1.853	0.750	63.257
2LS5A_082_1.pdb	1.190	5.855	85.887
5UM7B_062_1.pdb	2.186	4.206	71.880
3C71A_017_1.pdb	1.553	12.697	84.035
2L57_067_1.pdb	2.121	2.645	80.323
1LU4_163_1.pdb	0.279	1.743	93.403
5UM7B_027_1.pdb	1.660	7.119	81.125
2OKA_126_1.pdb	6.334	6.051	76.480
3GL3D_049_1.pdb	11.839	7.900	55.891
4NMUD_122_1.pdb	4.718	4.766	60.051
3KCMA_143_1.pdb	3.530	4.986	51.759
3KCMA_106_1.pdb	3.419	4.643	86.817
4NMUD_167_1.pdb	1.280	3.500	89.770
1KNGA_081_1.pdb	8.361	5.039	50.869
3GL5_006_1.pdb	10.065	11.801	82.056
3GL5_043_1.pdb	10.401	11.672	80.572
3U5RE_189_1.pdb	1.947	7.885	63.786
1LU4_083_1.pdb	0.234	1.823	92.952
3U5RE_131_1.pdb	1.923	8.449	63.631
3U5RE_174_1.pdb	2.069	6.545	68.512
1KNGA_039_1.pdb	2.533	8.504	79.413
2OKA_083_1.pdb	6.382	6.002	74.481
2EC4_013_1.pdb	3.728	4.544	36.782
4EUY_007_1.pdb	5.368	5.305	88.020
4EUY_042_1.pdb	5.280	5.218	87.090
2EC4_056_1.pdb	3.652	4.309	67.266
3OR5A_092_1.pdb	2.368	4.241	61.467
3U5RE_149_1.pdb	4.376	8.835	44.395
3W8J_072_1.pdb	4.251	3.967	71.889
3W8J_037_1.pdb	6.012	6.697	51.038
1KNGA_041_1.pdb	1.895	7.433	80.558
3GL5_083_1.pdb	9.820	11.909	84.643
1KNGA_004_1.pdb	13.007	12.476	53.791
3KCMA_183_1.pdb	4.811	6.847	55.540
3IOSA_037_1.pdb	1.659	1.935	67.971
3IOSA_072_1.pdb	1.094	2.139	82.708
6MZA_023_1.pdb	0.859	0.638	66.797
3GL3D_089_1.pdb	7.190	6.346	44.760
6MZA_066_1.pdb	0.724	0.426	81.170
3GL3D_074_1.pdb	8.362	5.814	57.877
3OR5A_052_1.pdb	2.513	4.156	55.908
3GL3D_031_1.pdb	1.080	8.604	89.351
3OR5A_017_1.pdb	1.248	2.909	84.501
4EUY_082_1.pdb	5.494	5.424	82.782
2OKA_006_1.pdb	7.066	6.137	61.987
2OKA_043_1.pdb	6.351	6.027	77.629
5UM7B_107_1.pdb	1.724	6.502	71.241
1LU4_043_1.pdb	2.125	1.671	60.091
5UM7B_142_1.pdb	1.643	7.180	80.436
1LU4_006_1.pdb	0.222	1.658	91.932
3KCMA_026_1.pdb	4.656	4.718	62.022
4NMUD_047_1.pdb	1.430	3.745	84.361
4NMUD_002_1.pdb	1.770	3.761	80.294
3KCMA_063_1.pdb	3.089	4.777	84.522
6MZA_186_1.pdb	0.772	0.416	77.829
3GL3D_169_1.pdb	9.968	5.396	62.346
3W8J_192_1.pdb	10.983	12.012	37.170
3GL5_163_1.pdb	9.943	11.776	83.323
3GL5_126_1.pdb	9.678	12.000	87.127
1KNGA_119_1.pdb	5.573	5.490	58.171
3C71A_092_1.pdb	10.801	9.031	66.131
2LS5A_042_1.pdb	1.586	4.714	79.344
3U5RE_054_1.pdb	1.323	5.432	70.357
2LS5A_007_1.pdb	1.337	7.889	82.164
3U5RE_011_1.pdb	1.278	6.296	84.746
3PH9_027_1.pdb	8.251	8.793	62.134
4EUY_162_1.pdb	5.207	5.156	71.407
4EUY_127_1.pdb	5.328	5.271	86.762
2OKA_022_1.pdb	6.982	5.958	72.530
1KNGA_098_1.pdb	2.384	5.005	66.104
2OKA_067_1.pdb	5.718	5.756	70.822
3C71A_113_1.pdb	1.769	12.495	68.939
5UM7B_123_1.pdb	1.713	7.523	74.060
1LU4_067_1.pdb	0.215	1.896	93.067
1LU4_022_1.pdb	0.202	1.913	91.545
3U5RE_190_1.pdb	3.364	10.741	50.282
3GL3D_050_1.pdb	8.250	5.649	45.370
3OR5A_076_1.pdb	11.714	12.432	62.253
3GL3D_015_1.pdb	4.044	8.148	58.222
3OR5A_033_1.pdb	4.037	8.783	58.972
3IOSA_013_1.pdb	0.691	1.772	86.750
3IOSA_056_1.pdb	1.049	2.183	85.132
6MZA_007_1.pdb	0.771	0.514	79.651
6MZA_042_1.pdb	0.840	0.527	82.365
3W8J_056_1.pdb	8.296	9.236	38.938
3U5RE_128_1.pdb	2.051	6.644	69.780
3W8J_013_1.pdb	4.360	4.042	58.532
1KNGA_065_1.pdb	2.245	8.173	70.766
1KNGA_020_1.pdb	6.233	7.584	52.727
3PH9_003_1.pdb	8.015	8.660	63.807
3PH9_046_1.pdb	9.616	10.440	76.397
3OR5A_196_1.pdb	11.781	12.001	41.206
4EUY_146_1.pdb	6.276	6.186	50.049
4EUY_103_1.pdb	5.274	5.211	88.199
1KNGA_178_1.pdb	4.656	4.896	55.763
2LS5A_066_1.pdb	7.829	6.384	38.700
5UM7B_086_1.pdb	1.759	7.628	60.624
3U5RE_070_1.pdb	8.867	9.694	56.633
2LS5A_023_1.pdb	1.324	5.822	84.398
3U5RE_035_1.pdb	1.509	5.910	69.497
1LU4_187_1.pdb	1.220	2.610	64.141
3EMX_017_1.pdb	3.667	4.172	62.942
3GL5_147_1.pdb	10.377	11.473	82.511
3PH9_1.pdb	8.796	9.542	91.191
3GL5_102_1.pdb	8.831	4.062	63.576
1KNGA_185_1.pdb	9.575	6.606	45.923
3KCMA_002_1.pdb	3.280	4.750	88.093
4NMUD_063_1.pdb	1.260	3.531	89.635
4NMUD_026_1.pdb	1.192	3.536	86.884
3KCMA_047_1.pdb	4.736	5.899	66.042
3GL3D_108_1.pdb	7.114	4.680	44.900
3C71A_076_1.pdb	11.485	7.003	65.399
2L57_006_1.pdb	1.998	2.924	77.579
1LU4_102_1.pdb	0.208	1.879	92.454
5UM7B_046_1.pdb	1.692	7.179	80.691
3C71A_033_1.pdb	3.451	12.631	65.947
2L57_043_1.pdb	2.091	2.790	79.243
1LU4_147_1.pdb	0.594	1.915	90.940
5UM7B_003_1.pdb	1.680	7.274	79.245
2OKA_147_1.pdb	7.055	5.929	63.465
2OKA_102_1.pdb	6.568	5.890	78.323
3GL3D_135_1.pdb	8.071	4.451	46.266
3OR5A_113_1.pdb	3.080	4.764	37.456
3GL3D_170_1.pdb	2.261	8.966	69.363
3OR5A_156_1.pdb	1.466	2.858	55.500
6MZA_162_1.pdb	0.766	0.531	80.796
6MZA_127_1.pdb	0.718	0.460	82.184
3KCMA_087_1.pdb	5.244	5.260	50.615
3IOSA_133_1.pdb	0.779	1.589	85.641
1KNGA_100_1.pdb	1.974	8.808	67.121
3GL5_187_1.pdb	10.472	11.770	83.418
1KNGA_145_1.pdb	7.435	5.271	49.142
3U5RE_008_1.pdb	1.553	6.241	75.169
3W8J_133_1.pdb	8.082	8.004	40.072
3W8J_176_1.pdb	8.445	11.132	36.670
2EC4_037_1.pdb	3.655	4.425	39.607
4EUY_023_1.pdb	5.420	5.362	88.117
4EUY_066_1.pdb	5.473	5.396	86.463
2EC4_072_1.pdb	3.679	4.486	45.488
3GL3D_090_1.pdb	3.409	8.887	64.379
3U5RE_115_1.pdb	10.527	9.790	49.818
3U5RE_150_1.pdb	1.343	6.046	74.096
1KNGA_058_1.pdb	4.796	4.835	53.905
3GL5_022_1.pdb	10.443	11.715	85.759
3GL5_067_1.pdb	9.784	12.035	86.912
3W8J_096_1.pdb	9.482	9.339	39.055
3GL3D_028_1.pdb	1.425	8.332	85.123
6MZA_082_1.pdb	0.821	0.516	78.491
4NMUD_106_1.pdb	1.469	3.637	81.136
3KCMA_167_1.pdb	4.562	5.549	47.058
3KCMA_122_1.pdb	3.496	4.773	83.746
4NMUD_143_1.pdb	8.789	7.973	40.520
3IOSA_096_1.pdb	0.888	1.822	82.122
6MZA_104_1.pdb	0.727	0.451	79.613
3OR5A_188_1.pdb	1.893	3.909	73.219
6MZA_141_1.pdb	0.898	0.549	80.039
4EUY_158_1.pdb	5.469	5.415	89.225
3IOSA_110_1.pdb	1.042	1.955	87.531
3IOSA_155_1.pdb	0.917	2.127	83.019
4NMUD_080_1.pdb	5.513	4.386	69.458
1KNGA_166_1.pdb	8.350	8.500	61.409
1KNGA_123_1.pdb	2.807	7.457	77.811
5UM7B_098_1.pdb	1.654	6.448	76.340
2LS5A_078_1.pdb	1.240	5.937	84.590
3W8J_155_1.pdb	8.132	8.316	42.240
1LU4_199_1.pdb	0.213	1.808	92.275
3W8J_110_1.pdb	11.446	11.676	37.011
2L57_060_1.pdb	2.126	2.754	79.138
3C71A_010_1.pdb	9.794	8.506	50.823
5UM7B_020_1.pdb	1.692	7.140	80.185
1LU4_164_1.pdb	0.306	1.693	92.370
2L57_025_1.pdb	2.052	2.831	77.695
3C71A_055_1.pdb	2.160	12.386	81.197
2LS5A_085_1.pdb	2.042	6.547	71.405
5UM7B_065_1.pdb	1.817	7.234	76.052
1LU4_121_1.pdb	0.304	1.792	89.184
3U5RE_093_1.pdb	2.140	7.269	59.055
3GL5_159_1.pdb	10.018	11.724	80.919
3EMX_009_1.pdb	8.258	10.207	51.574
2OKA_121_1.pdb	7.003	6.131	77.487
3KCMA_059_1.pdb	5.287	6.144	55.125
4NMUD_038_1.pdb	1.476	3.202	83.507
3GL3D_153_1.pdb	6.522	4.903	44.172
3OR5A_175_1.pdb	1.098	2.778	77.912
3GL3D_116_1.pdb	4.228	5.681	60.396
3OR5A_130_1.pdb	8.213	6.813	51.707
3GL5_044_1.pdb	10.366	11.638	81.845
2OKA_079_1.pdb	6.380	5.952	76.896
3GL5_001_1.pdb	9.992	12.213	90.429
1KNGA_086_1.pdb	6.414	7.689	38.287
1LU4_079_1.pdb	0.223	1.939	93.535
3OR5A_068_1.pdb	1.039	2.894	76.002
3KCMA_101_1.pdb	4.855	5.611	58.956
4NMUD_160_1.pdb	1.397	3.317	86.274
4NMUD_125_1.pdb	2.079	3.311	65.468
3KCMA_144_1.pdb	4.891	6.579	49.294
4EUY_045_1.pdb	5.511	5.438	91.294
2EC4_051_1.pdb	3.684	4.375	44.581
2EC4_014_1.pdb	3.697	4.477	45.621
3IOSA_048_1.pdb	0.818	1.755	87.948
4EUY_000_1.pdb	5.429	5.367	89.299
6MZA_019_1.pdb	0.738	0.568	80.055
3OR5A_095_1.pdb	1.775	3.170	74.408
3W8J_048_1.pdb	5.192	7.579	36.354
3U5RE_173_1.pdb	3.362	4.296	47.331
3U5RE_136_1.pdb	1.709	6.845	59.422
1LU4_084_1.pdb	1.407	0.469	67.473
2OKA_084_1.pdb	6.991	5.872	67.372
3IOSA_075_1.pdb	0.737	1.585	90.900
3KCMA_1.pdb	3.246	4.486	92.916
2EC4_029_1.pdb	3.600	4.481	37.762
3KCMA_184_1.pdb	5.162	6.110	65.372
4EUY_078_1.pdb	5.455	5.400	89.712
3IOSA_030_1.pdb	0.932	1.591	85.354
6MZA_061_1.pdb	0.809	0.525	78.042
6MZA_024_1.pdb	0.989	0.542	63.790
3W8J_030_1.pdb	8.809	10.591	36.767
3W8J_075_1.pdb	13.579	11.968	33.830
1KNGA_003_1.pdb	3.166	7.227	49.351
3GL5_084_1.pdb	10.421	11.510	67.606
1KNGA_046_1.pdb	6.345	4.263	47.352
2OKA_044_1.pdb	7.872	7.724	72.904
3GL5_079_1.pdb	10.223	11.818	80.858
2OKA_001_1.pdb	7.019	5.934	74.284
3W8J_088_1.pdb	6.015	5.920	46.132
1LU4_001_1.pdb	0.247	1.828	92.192
5UM7B_145_1.pdb	1.688	8.293	73.547
3C71A_130_1.pdb	12.760	4.955	59.823
1LU4_044_1.pdb	0.241	1.693	92.294
5UM7B_100_1.pdb	7.172	9.490	52.155
3GL3D_036_1.pdb	1.770	8.313	70.724
3OR5A_010_1.pdb	7.736	8.894	63.600
3GL3D_073_1.pdb	6.241	4.702	50.588
3OR5A_055_1.pdb	2.919	4.206	62.865
3KCMA_179_1.pdb	2.959	4.428	85.982
4EUY_085_1.pdb	5.503	5.445	88.682
4NMUD_118_1.pdb	1.346	3.223	86.206
3IOSA_088_1.pdb	0.865	1.866	89.575
5UM7B_058_1.pdb	1.672	7.345	77.975
3C71A_068_1.pdb	10.789	8.142	57.458
2L57_018_1.pdb	1.953	2.328	69.907
1LU4_159_1.pdb	1.147	0.791	64.570
2OKA_159_1.pdb	6.667	5.973	73.838
3GL5_121_1.pdb	9.783	12.129	88.774
3GL5_164_1.pdb	10.348	11.487	81.706
4NMUD_005_1.pdb	1.336	3.625	88.304
3KCMA_064_1.pdb	3.945	4.803	70.408
3KCMA_021_1.pdb	3.048	4.740	87.266
4NMUD_040_1.pdb	3.743	2.477	68.769
6MZA_181_1.pdb	0.838	0.665	66.432
3OR5A_148_1.pdb	1.162	2.942	85.437
3PH9_020_1.pdb	8.516	9.287	56.995
6MZA_139_1.pdb	1.836	1.481	50.757
3IOSA_168_1.pdb	1.001	2.302	88.346
4EUY_120_1.pdb	6.360	6.287	48.663
4EUY_165_1.pdb	5.913	5.846	55.431
3KCMA_099_1.pdb	4.684	5.797	66.657
3GL5_199_1.pdb	10.259	11.600	81.135
3U5RE_016_1.pdb	1.330	6.117	77.122
2LS5A_000_1.pdb	1.295	5.128	83.715
3C71A_095_1.pdb	13.388	12.457	39.289
3W8J_168_1.pdb	7.270	9.155	41.044
3U5RE_053_1.pdb	9.226	7.588	51.020
2LS5A_045_1.pdb	1.649	7.697	74.652
3GL3D_012_1.pdb	1.352	8.743	90.340
3OR5A_034_1.pdb	1.836	3.121	71.859
3GL3D_057_1.pdb	12.074	6.804	65.369
3OR5A_071_1.pdb	1.246	3.213	76.635
3KCMA_118_1.pdb	4.388	5.471	67.709
3GL5_018_1.pdb	10.428	11.554	81.697
2OKA_060_1.pdb	7.590	8.940	73.165
2OKA_025_1.pdb	8.265	7.985	81.265
3U5RE_197_1.pdb	2.240	6.889	66.750
1LU4_025_1.pdb	0.423	1.666	92.772
3C71A_114_1.pdb	9.346	6.976	55.516
1LU4_060_1.pdb	6.815	6.814	45.614
5UM7B_124_1.pdb	1.775	6.425	70.409
3W8J_014_1.pdb	9.546	9.775	36.796
3W8J_051_1.pdb	3.669	3.734	86.584
1KNGA_027_1.pdb	2.451	5.900	65.311
1KNGA_062_1.pdb	5.918	4.832	49.766
4EUY_019_1.pdb	5.685	5.611	81.104
3IOSA_051_1.pdb	0.814	2.003	85.758
2EC4_048_1.pdb	3.846	4.563	36.964
3IOSA_014_1.pdb	0.876	1.713	82.133
6MZA_045_1.pdb	5.278	5.130	42.674
6MZA_000_1.pdb	0.651	0.491	83.466
3W8J_109_1.pdb	9.308	13.071	34.958
1LU4_180_1.pdb	2.129	11.937	52.246
3U5RE_032_1.pdb	1.733	7.019	71.585
2LS5A_024_1.pdb	1.133	5.701	88.239
3U5RE_077_1.pdb	1.299	6.260	71.208
2LS5A_061_1.pdb	1.921	7.798	70.334
5UM7B_081_1.pdb	1.410	7.490	77.220
3PH9_041_1.pdb	9.719	10.705	69.341
6MZA_158_1.pdb	0.727	0.444	79.261
3OR5A_191_1.pdb	1.636	3.430	72.649
3PH9_004_1.pdb	8.537	9.333	76.956
4EUY_104_1.pdb	5.421	5.363	81.087
4NMUD_099_1.pdb	1.361	3.607	87.359
3IOSA_109_1.pdb	0.761	1.650	91.448
4EUY_141_1.pdb	5.455	5.397	89.445
4NMUD_021_1.pdb	1.455	3.727	81.576
3KCMA_040_1.pdb	3.198	4.662	80.372
3KCMA_005_1.pdb	2.736	4.527	89.574
4NMUD_064_1.pdb	4.258	6.069	63.681
3OR5A_129_1.pdb	1.022	2.369	71.042
1LU4_138_1.pdb	1.989	0.506	67.297
5UM7B_039_1.pdb	1.388	6.040	67.508
3C71A_009_1.pdb	1.438	12.542	89.915
1KNGA_182_1.pdb	1.976	7.534	82.891
3GL5_105_1.pdb	9.579	11.928	87.135
2OKA_138_1.pdb	6.890	5.972	68.054
3EMX_010_1.pdb	2.802	4.213	76.327
3GL5_140_1.pdb	10.372	11.411	79.334
4NMUD_059_1.pdb	2.875	2.585	69.469
3KCMA_038_1.pdb	2.993	4.423	91.764
3GL3D_177_1.pdb	8.725	6.360	51.819
3OR5A_151_1.pdb	1.331	3.532	79.038
6MZA_198_1.pdb	3.684	3.478	52.881
3GL3D_132_1.pdb	7.414	6.365	43.336
3OR5A_114_1.pdb	2.587	4.460	56.268
2L57_044_1.pdb	2.119	2.728	80.787
3C71A_034_1.pdb	1.492	12.482	80.300
5UM7B_004_1.pdb	1.629	7.185	87.506
1LU4_140_1.pdb	0.394	1.789	90.969
2L57_001_1.pdb	2.316	2.744	85.658
3C71A_071_1.pdb	1.402	12.360	80.801
5UM7B_041_1.pdb	1.842	6.989	72.913
1LU4_105_1.pdb	0.328	1.867	90.808
2OKA_105_1.pdb	6.894	6.060	79.456
3GL5_138_1.pdb	10.336	11.561	81.386
2OKA_140_1.pdb	6.329	5.974	77.597
1KNGA_142_1.pdb	3.405	8.973	55.350
3GL5_180_1.pdb	10.133	11.591	82.015
1KNGA_107_1.pdb	9.955	4.965	41.298
3W8J_171_1.pdb	10.778	11.228	44.715
2LS5A_019_1.pdb	1.494	4.710	82.805
3W8J_134_1.pdb	10.548	10.183	36.584
6MZA_120_1.pdb	0.880	0.538	81.222
3PH9_039_1.pdb	10.207	11.111	70.730
6MZA_165_1.pdb	3.496	3.137	58.742
3KCMA_080_1.pdb	3.805	5.055	74.417
3IOSA_134_1.pdb	1.380	1.898	80.407
4EUY_139_1.pdb	5.418	5.376	86.397
3U5RE_157_1.pdb	2.851	9.971	58.771
3W8J_029_1.pdb	8.063	10.071	36.086
3U5RE_112_1.pdb	3.107	9.493	49.943
3IOSA_1.pdb	0.745	1.665	94.650
3IOSA_029_1.pdb	0.774	1.909	91.090
4EUY_061_1.pdb	5.320	5.256	80.606
2EC4_075_1.pdb	3.673	4.465	40.423
2EC4_030_1.pdb	3.661	4.338	40.104
4EUY_024_1.pdb	5.258	5.203	82.744
6MZA_078_1.pdb	0.770	0.519	78.723
3GL3D_097_1.pdb	10.100	4.409	51.509
6MZA_085_1.pdb	0.688	0.472	82.013
3OR5A_009_1.pdb	4.232	5.846	57.932
3KCMA_125_1.pdb	4.791	5.272	55.513
3IOSA_091_1.pdb	8.707	15.595	40.147
4NMUD_144_1.pdb	1.372	3.919	84.583
4NMUD_101_1.pdb	3.586	3.878	70.889
3KCMA_160_1.pdb	3.105	4.916	79.538
2OKA_018_1.pdb	7.150	6.130	75.813
1KNGA_1.pdb	1.751	7.389	94.515
3GL5_060_1.pdb	10.045	11.598	77.379
3GL5_025_1.pdb	10.610	11.429	79.749
5UM7B_119_1.pdb	1.650	7.103	81.005
3C71A_129_1.pdb	12.313	9.251	61.276
1LU4_018_1.pdb	0.442	2.330	89.696
3W8J_091_1.pdb	4.502	4.238	60.293
6MZA_122_1.pdb	0.823	0.601	67.192
6MZA_167_1.pdb	0.889	0.618	72.784
3KCMA_082_1.pdb	5.119	6.644	61.088
3IOSA_136_1.pdb	1.044	2.517	84.867
1KNGA_140_1.pdb	9.350	11.456	40.073
3GL5_182_1.pdb	9.899	11.918	84.960
1KNGA_105_1.pdb	1.849	7.421	80.317
3U5RE_048_1.pdb	2.177	9.719	60.137
3W8J_173_1.pdb	5.727	6.277	54.319
3W8J_136_1.pdb	4.650	4.495	66.362
2L57_046_1.pdb	2.870	8.636	50.172
3C71A_036_1.pdb	13.999	5.854	48.874
5UM7B_006_1.pdb	1.685	7.044	78.626
1LU4_142_1.pdb	1.892	0.426	73.957
2L57_003_1.pdb	2.235	2.218	75.550
3C71A_073_1.pdb	2.136	12.165	74.445
5UM7B_043_1.pdb	6.884	4.978	57.461
1LU4_107_1.pdb	7.723	12.928	45.718
2OKA_107_1.pdb	6.310	5.911	76.961
2OKA_142_1.pdb	6.625	5.952	76.157
3GL3D_175_1.pdb	1.965	8.677	79.008
3OR5A_153_1.pdb	1.484	3.222	68.564
3GL3D_130_1.pdb	12.267	9.157	35.949
3OR5A_116_1.pdb	8.572	13.979	47.399
3GL5_062_1.pdb	9.879	11.969	86.889
2EC4_1.pdb	3.592	4.545	88.521
3GL5_027_1.pdb	10.236	11.747	80.859
3W8J_093_1.pdb	8.261	10.129	36.184
6MZA_087_1.pdb	1.873	1.811	42.931
3GL3D_068_1.pdb	1.223	8.624	91.293
3KCMA_127_1.pdb	2.819	4.928	75.565
4NMUD_146_1.pdb	1.199	3.480	82.216
3IOSA_093_1.pdb	1.080	1.799	82.448
4NMUD_103_1.pdb	1.452	3.814	81.498
3KCMA_162_1.pdb	4.854	6.656	61.228
4EUY_063_1.pdb	5.419	5.361	88.272
2EC4_077_1.pdb	3.662	4.462	57.194
2EC4_032_1.pdb	3.692	4.485	39.042
4EUY_026_1.pdb	5.379	5.317	84.333
3GL3D_095_1.pdb	6.687	3.575	58.989
3U5RE_155_1.pdb	8.322	10.011	54.405
3U5RE_110_1.pdb	2.150	9.767	57.006
1KNGA_018_1.pdb	3.915	3.605	57.919
3IOSA_053_1.pdb	0.713	1.767	92.298
3IOSA_016_1.pdb	1.071	2.145	82.621
6MZA_047_1.pdb	2.764	2.457	38.649
6MZA_002_1.pdb	0.733	0.489	81.933
3W8J_016_1.pdb	7.258	7.248	40.445
3U5RE_168_1.pdb	1.989	7.995	61.394
3W8J_053_1.pdb	5.075	5.134	74.001
1KNGA_025_1.pdb	6.115	10.169	37.479
1KNGA_060_1.pdb	8.690	3.479	46.371
2OKA_062_1.pdb	6.429	5.843	76.679
2OKA_027_1.pdb	6.454	5.775	67.132
1LU4_027_1.pdb	1.602	0.830	61.258
3U5RE_195_1.pdb	1.861	7.794	64.390
3C71A_116_1.pdb	8.925	13.031	55.457
1LU4_062_1.pdb	0.367	1.810	91.779
5UM7B_126_1.pdb	1.515	5.930	70.263
3GL3D_010_1.pdb	1.525	8.523	86.005
3OR5A_036_1.pdb	2.056	3.770	55.131
3GL3D_055_1.pdb	8.068	4.212	54.771
3OR5A_073_1.pdb	11.782	10.839	44.438
3U5RE_088_1.pdb	1.787	6.990	67.432
1KNGA_180_1.pdb	4.563	6.794	58.307
3GL5_107_1.pdb	9.712	12.119	88.504
3EMX_012_1.pdb	3.978	4.864	70.400
3GL5_142_1.pdb	10.231	11.685	80.870
4NMUD_023_1.pdb	3.364	2.044	66.443
3KCMA_042_1.pdb	3.427	4.812	87.260
3KCMA_007_1.pdb	3.870	5.000	73.875
4NMUD_066_1.pdb	1.551	4.354	75.340
3GL3D_148_1.pdb	1.348	8.484	86.326
3PH9_043_1.pdb	8.312	9.042	56.947
3OR5A_193_1.pdb	1.173	3.153	77.303
3PH9_006_1.pdb	8.388	9.132	75.046
4EUY_106_1.pdb	5.024	4.951	84.577
4EUY_143_1.pdb	5.468	5.409	88.005
1KNGA_138_1.pdb	1.870	7.522	87.609
3U5RE_030_1.pdb	1.261	5.577	81.421
1LU4_182_1.pdb	2.682	2.162	56.483
2LS5A_026_1.pdb	6.418	7.691	68.260
3U5RE_075_1.pdb	10.425	9.483	45.724
2LS5A_063_1.pdb	2.332	4.507	67.138
5UM7B_083_1.pdb	1.721	6.539	73.341
3GL3D_034_1.pdb	9.426	5.152	49.197
3OR5A_012_1.pdb	1.816	3.600	53.879
3GL3D_071_1.pdb	1.950	8.903	72.776
3OR5A_057_1.pdb	2.441	4.183	56.583
4EUY_087_1.pdb	5.434	5.360	61.556
2OKA_046_1.pdb	6.366	5.975	76.783
2OKA_003_1.pdb	8.345	7.723	81.360
1LU4_003_1.pdb	0.249	1.879	93.104
5UM7B_147_1.pdb	1.694	6.687	76.434
3C71A_132_1.pdb	12.590	2.989	50.485
1LU4_046_1.pdb	0.262	1.749	93.074
5UM7B_102_1.pdb	1.592	6.210	69.806
3U5RE_109_1.pdb	9.972	8.605	53.397
3W8J_032_1.pdb	4.373	4.238	81.855
3W8J_077_1.pdb	4.328	4.388	71.667
