Hit,Z-score,rmsd,lali,nres,%id,Description
3a2v-C,14.5,2.3,133,243,20,PROBABLE PEROXIREDOXIN                       
3a2x-A,14.5,2.3,133,243,19,PROBABLE PEROXIREDOXIN                       
2h66-A,14.5,2.3,133,167,22,PV-PF14_0368                                 
4l0u-H,14.5,2.3,131,167,22,"2-CYS PEROXIREDOXIN, PUTATIVE                "
4l0u-A,14.5,2.4,134,168,22,"2-CYS PEROXIREDOXIN, PUTATIVE                "
3tue-A,14.5,2.4,131,166,17,TRYPAREDOXIN PEROXIDASE                      
1x0r-F,14.5,2.3,133,244,20,PROBABLE PEROXIREDOXIN                       
3zl5-B,14.5,2.5,132,164,15,PEROXIREDOXIN I                              
4gqc-A,14.5,2.3,127,160,20,THIOL PEROXIDASE                             
1x0r-D,14.5,2.3,133,244,20,PROBABLE PEROXIREDOXIN                       
4ka0-B,14.5,2.4,127,140,16,PUTATIVE THIOL-DISULFIDE OXIDOREDUCTASE      
6utl-J,14.5,2.4,130,164,15,PEROXIREDOXIN TSA2                           
4mh3-J,14.5,2.3,131,166,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
6utl-A,14.5,2.4,131,167,15,PEROXIREDOXIN TSA2                           
4mh3-A,14.5,2.4,132,166,17,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
4fh8-C,14.5,2.4,131,168,18,ACEPRX-1                                     
4kb3-F,14.5,2.4,130,163,16,PEROXIDOXIN                                  
3tjb-B,14.5,2.4,131,167,15,PEROXIREDOXIN-4                              
4rqx-D,14.5,2.4,131,166,15,PEROXIREDOXIN-4                              
4fh8-I,14.5,2.4,131,169,18,ACEPRX-1                                     
6utl-H,14.5,2.4,131,167,15,PEROXIREDOXIN TSA2                           
3tjj-B,14.5,2.4,131,167,15,PEROXIREDOXIN-4                              
6utl-C,14.5,2.4,131,166,15,PEROXIREDOXIN TSA2                           
3tkq-C,14.5,2.4,131,166,15,PEROXIREDOXIN-4                              
4l0u-E,14.5,2.3,131,162,22,"2-CYS PEROXIREDOXIN, PUTATIVE                "
4rqx-B,14.5,2.4,131,166,15,PEROXIREDOXIN-4                              
1x0r-H,14.5,2.3,133,244,20,PROBABLE PEROXIREDOXIN                       
5dvb-I,14.4,2.4,134,186,14,TSA2P                                        
3gkk-A,14.4,2.3,128,156,12,BACTERIOFERRITIN COMIGRATORY PROTEIN         
5ept-D,14.4,2.3,131,170,14,PEROXIREDOXIN TSA2                           
3kij-B,14.4,2.5,132,171,12,PROBABLE GLUTATHIONE PEROXIDASE 8            
1e2y-H,14.4,2.4,131,169,15,TRYPAREDOXIN PEROXIDASE                      
4kb3-E,14.4,2.4,130,163,16,PEROXIDOXIN                                  
3sbc-D,14.4,2.4,131,194,14,PEROXIREDOXIN TSA1                           
5xbq-F,14.4,2.3,130,214,12,PEROXIREDOXIN                                
6hn3-A,14.4,2.4,130,167,10,PHOSPHOLIPID HYDROPEROXIDE GLUTATHIONE PEROXI 
5zte-H,14.4,2.3,134,193,17,"2-CYS PEROXIREDOXIN BAS1, CHLOROPLASTIC      "
5zte-D,14.4,2.3,134,195,17,"2-CYS PEROXIREDOXIN BAS1, CHLOROPLASTIC      "
6khx-B,14.4,2.4,134,211,21,PEROXIREDOXIN                                
5zte-I,14.4,2.3,134,194,17,"2-CYS PEROXIREDOXIN BAS1, CHLOROPLASTIC      "
5zte-A,14.4,2.2,134,195,17,"2-CYS PEROXIREDOXIN BAS1, CHLOROPLASTIC      "
5zte-F,14.4,2.2,134,196,17,"2-CYS PEROXIREDOXIN BAS1, CHLOROPLASTIC      "
1y25-B,14.4,2.2,129,165,18,PROBABLE THIOL PEROXIDASE                    
3a2x-J,14.4,2.3,133,243,19,PROBABLE PEROXIREDOXIN                       
2h66-F,14.4,2.3,131,168,22,PV-PF14_0368                                 
6krp-G,14.4,2.3,130,244,15,PEROXIREDOXIN                                
4l0u-F,14.4,2.3,131,169,22,"2-CYS PEROXIREDOXIN, PUTATIVE                "
3uma-B,14.4,2.3,128,161,14,HYPOTHETICAL PEROXIREDOXIN PROTEIN           
1y25-A,14.4,2.3,130,165,18,PROBABLE THIOL PEROXIDASE                    
2zct-E,14.4,2.3,133,236,19,PROBABLE PEROXIREDOXIN                       
5ovq-C,14.4,2.2,133,219,17,PEROXIREDOXIN                                
5jly-C,14.4,2.5,133,166,15,THIOREDOXIN PEROXIDASE-1                     
6elw-A,14.4,2.4,129,165,10,PHOSPHOLIPID HYDROPEROXIDE GLUTATHIONE PEROXI 
4kce-B,14.4,2.6,133,163,16,PEROXIDOXIN                                  
6utl-F,14.4,2.4,131,165,15,PEROXIREDOXIN TSA2                           
6krk-G,14.4,2.3,133,244,19,PEROXIREDOXIN                                
5jly-B,14.4,2.5,132,167,15,THIOREDOXIN PEROXIDASE-1                     
4fh8-B,14.4,2.3,131,171,18,ACEPRX-1                                     
3zvj-G,14.4,2.3,132,172,15,THIOREDOXIN PEROXIDASE                       
2pn8-A,14.4,2.3,134,191,15,PEROXIREDOXIN-4                              
2pn8-J,14.4,2.3,134,191,15,PEROXIREDOXIN-4                              
3a2w-B,14.4,2.3,133,244,19,PROBABLE PEROXIREDOXIN                       
2pn8-I,14.4,2.4,134,190,15,PEROXIREDOXIN-4                              
4kw6-E,14.4,2.4,131,171,18,PEROXIREDOXIN-1                              
6krk-J,14.4,2.3,133,244,19,PEROXIREDOXIN                                
4kw6-C,14.4,2.4,131,170,18,PEROXIREDOXIN-1                              
3ztl-G,14.4,2.4,134,180,16,THIOREDOXIN PEROXIDASE                       
3tjj-D,14.4,2.4,131,167,15,PEROXIREDOXIN-4                              
4kb3-I,14.4,2.4,130,163,16,PEROXIDOXIN                                  
6e0g-C,14.4,2.4,131,165,17,MITOCHONDRIAL 2-CYS-PEROXIREDOXIN            
6e0g-E,14.4,2.4,131,165,17,MITOCHONDRIAL 2-CYS-PEROXIREDOXIN            
3tjg-A,14.4,2.4,131,167,15,PEROXIREDOXIN-4                              
3tkq-E,14.4,2.4,131,166,15,PEROXIREDOXIN-4                              
6e0g-I,14.4,2.4,131,165,17,MITOCHONDRIAL 2-CYS-PEROXIREDOXIN            
4fh8-H,14.4,2.4,131,170,18,ACEPRX-1                                     
4rqx-C,14.4,2.5,131,166,15,PEROXIREDOXIN-4                              
4mh3-D,14.4,2.4,131,168,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
4fh8-J,14.4,2.4,131,170,18,ACEPRX-1                                     
3tjg-E,14.4,2.4,131,167,15,PEROXIREDOXIN-4                              
6e0g-G,14.4,2.4,131,165,17,MITOCHONDRIAL 2-CYS-PEROXIREDOXIN            
6e0g-A,14.4,2.3,130,165,17,MITOCHONDRIAL 2-CYS-PEROXIREDOXIN            
6e0g-F,14.4,2.4,131,165,17,MITOCHONDRIAL 2-CYS-PEROXIREDOXIN            
6e0g-J,14.4,2.4,131,165,17,MITOCHONDRIAL 2-CYS-PEROXIREDOXIN            
3tjb-C,14.4,2.4,131,167,15,PEROXIREDOXIN-4                              
6e0g-H,14.4,2.4,131,165,17,MITOCHONDRIAL 2-CYS-PEROXIREDOXIN            
3tjg-D,14.4,2.4,131,169,15,PEROXIREDOXIN-4                              
3tjg-B,14.4,2.4,131,170,15,PEROXIREDOXIN-4                              
4mh3-I,14.4,2.4,131,167,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
6e0g-D,14.4,2.4,131,165,17,MITOCHONDRIAL 2-CYS-PEROXIREDOXIN            
4fh8-A,14.4,2.4,131,171,18,ACEPRX-1                                     
6e0g-B,14.4,2.4,131,165,17,MITOCHONDRIAL 2-CYS-PEROXIREDOXIN            
3ztl-I,14.4,2.4,134,178,16,THIOREDOXIN PEROXIDASE                       
6krk-C,14.4,2.3,133,244,19,PEROXIREDOXIN                                
4txo-E,14.3,2.3,132,178,16,THIOL:DISULFIDE INTERCHANGE PROTEIN TLPA     
3hvv-A,14.3,2.5,131,167,16,THIOL PEROXIDASE                             
4mh3-C,14.3,2.3,130,169,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
1psq-A,14.3,2.4,131,163,17,PROBABLE THIOL PEROXIDASE                    
1e2y-A,14.3,2.4,130,167,15,TRYPAREDOXIN PEROXIDASE                      
1e2y-C,14.3,2.4,131,170,15,TRYPAREDOXIN PEROXIDASE                      
1e2y-D,14.3,2.3,130,166,15,TRYPAREDOXIN PEROXIDASE                      
5zte-C,14.3,2.3,134,193,17,"2-CYS PEROXIREDOXIN BAS1, CHLOROPLASTIC      "
5zte-J,14.3,2.3,134,194,17,"2-CYS PEROXIREDOXIN BAS1, CHLOROPLASTIC      "
5zte-E,14.3,2.3,134,194,17,"2-CYS PEROXIREDOXIN BAS1, CHLOROPLASTIC      "
2cx4-G,14.3,2.3,127,161,20,BACTERIOFERRITIN COMIGRATORY PROTEIN         
2cx3-A,14.3,2.3,127,160,20,BACTERIOFERRITIN COMIGRATORY PROTEIN         
2cx3-C,14.3,2.3,127,160,20,BACTERIOFERRITIN COMIGRATORY PROTEIN         
3a2w-E,14.3,2.3,133,243,19,PROBABLE PEROXIREDOXIN                       
4l0u-G,14.3,2.3,131,171,22,"2-CYS PEROXIREDOXIN, PUTATIVE                "
2cv4-H,14.3,2.3,133,240,19,PEROXIREDOXIN                                
2zct-J,14.3,2.3,133,236,19,PROBABLE PEROXIREDOXIN                       
2zct-B,14.3,2.4,133,234,19,PROBABLE PEROXIREDOXIN                       
5ovq-K,14.3,2.3,133,219,17,PEROXIREDOXIN                                
5ovq-F,14.3,2.2,133,218,17,PEROXIREDOXIN                                
2zct-G,14.3,2.3,133,237,19,PROBABLE PEROXIREDOXIN                       
5ovq-A,14.3,2.3,133,219,17,PEROXIREDOXIN                                
3a2x-F,14.3,2.3,133,244,19,PROBABLE PEROXIREDOXIN                       
3ztl-F,14.3,2.4,134,181,16,THIOREDOXIN PEROXIDASE                       
4kw6-B,14.3,2.4,131,171,18,PEROXIREDOXIN-1                              
4llr-H,14.3,2.3,134,194,18,TRYPAREDOXIN PEROXIDASE                      
3vwu-J,14.3,2.5,132,166,14,PEROXIREDOXIN-4                              
2cv4-A,14.3,2.3,133,241,19,PEROXIREDOXIN                                
2z9s-I,14.3,2.3,134,197,17,PEROXIREDOXIN-1                              
2pn8-F,14.3,2.4,134,191,15,PEROXIREDOXIN-4                              
2pn8-E,14.3,2.3,133,191,15,PEROXIREDOXIN-4                              
4llr-A,14.3,2.3,134,194,18,TRYPAREDOXIN PEROXIDASE                      
2pn8-G,14.3,2.3,133,191,15,PEROXIREDOXIN-4                              
4llr-D,14.3,2.3,134,194,18,TRYPAREDOXIN PEROXIDASE                      
3ztl-A,14.3,2.4,134,180,16,THIOREDOXIN PEROXIDASE                       
4llr-I,14.3,2.3,134,194,18,TRYPAREDOXIN PEROXIDASE                      
3a2w-D,14.3,2.3,133,244,19,PROBABLE PEROXIREDOXIN                       
2pn8-D,14.3,2.3,133,191,15,PEROXIREDOXIN-4                              
4llr-B,14.3,2.3,134,194,18,TRYPAREDOXIN PEROXIDASE                      
4llr-C,14.3,2.3,134,194,18,TRYPAREDOXIN PEROXIDASE                      
4llr-E,14.3,2.3,134,194,18,TRYPAREDOXIN PEROXIDASE                      
4llr-J,14.3,2.3,134,194,18,TRYPAREDOXIN PEROXIDASE                      
6khx-I,14.3,2.4,134,211,21,PEROXIREDOXIN                                
5ijt-A,14.3,2.5,131,162,19,PEROXIREDOXIN-2                              
2pn8-B,14.3,2.3,133,191,15,PEROXIREDOXIN-4                              
3ztl-E,14.3,2.4,134,176,16,THIOREDOXIN PEROXIDASE                       
4fh8-D,14.3,2.4,131,171,18,ACEPRX-1                                     
4mh3-H,14.3,2.4,131,167,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
3tjj-A,14.3,2.5,131,167,15,PEROXIREDOXIN-4                              
3tjb-E,14.3,2.4,131,167,15,PEROXIREDOXIN-4                              
3tjb-D,14.3,2.4,131,170,15,PEROXIREDOXIN-4                              
4gqf-B,14.3,2.2,126,162,20,THIOL PEROXIDASE                             
3tjg-C,14.3,2.4,131,170,15,PEROXIREDOXIN-4                              
3tjf-D,14.3,2.3,134,194,15,PEROXIREDOXIN-4                              
3tjj-E,14.3,2.5,131,167,15,PEROXIREDOXIN-4                              
4rqx-A,14.3,2.5,131,166,15,PEROXIREDOXIN-4                              
4kb3-J,14.3,2.5,131,163,16,PEROXIDOXIN                                  
4mab-B,14.3,2.3,131,186,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
4kw6-D,14.3,2.4,131,172,18,PEROXIREDOXIN-1                              
3vwu-B,14.3,2.4,131,167,15,PEROXIREDOXIN-4                              
4rqx-E,14.3,2.5,131,166,15,PEROXIREDOXIN-4                              
3tjj-C,14.3,2.4,131,167,15,PEROXIREDOXIN-4                              
2pn8-H,14.3,2.4,134,190,15,PEROXIREDOXIN-4                              
3ztl-J,14.3,2.4,134,183,16,THIOREDOXIN PEROXIDASE                       
2z9s-D,14.3,2.3,134,197,17,PEROXIREDOXIN-1                              
5ept-I,14.2,2.4,132,177,14,PEROXIREDOXIN TSA2                           
2cx3-B,14.2,2.4,127,161,20,BACTERIOFERRITIN COMIGRATORY PROTEIN         
1e2y-E,14.2,2.4,131,165,15,TRYPAREDOXIN PEROXIDASE                      
1e2y-J,14.2,2.4,130,166,15,TRYPAREDOXIN PEROXIDASE                      
5zte-B,14.2,2.3,134,198,17,"2-CYS PEROXIREDOXIN BAS1, CHLOROPLASTIC      "
4xra-B,14.2,2.3,132,186,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
5jcg-F,14.2,2.3,134,195,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
5ucx-G,14.2,2.3,134,195,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
2cx4-B,14.2,2.2,126,160,21,BACTERIOFERRITIN COMIGRATORY PROTEIN         
2cx3-D,14.2,2.4,127,160,20,BACTERIOFERRITIN COMIGRATORY PROTEIN         
5ucx-C,14.2,2.3,134,195,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
4af2-A,14.2,2.4,131,175,16,THIOL PEROXIDASE                             
2jsz-A,14.2,2.7,134,167,16,PROBABLE THIOL PEROXIDASE                    
1psq-B,14.2,2.4,131,163,17,PROBABLE THIOL PEROXIDASE                    
3a2w-F,14.2,2.3,133,244,19,PROBABLE PEROXIREDOXIN                       
2h66-G,14.2,2.3,131,171,22,PV-PF14_0368                                 
2h66-B,14.2,2.3,131,171,21,PV-PF14_0368                                 
6krk-I,14.2,2.3,130,244,15,PEROXIREDOXIN                                
4l0u-B,14.2,2.3,131,171,22,"2-CYS PEROXIREDOXIN, PUTATIVE                "
2wfc-A,14.2,2.6,131,159,14,PEROXIREDOXIN 5                              
2wfc-D,14.2,2.5,130,159,14,PEROXIREDOXIN 5                              
2fy6-A,14.2,2.5,122,143,19,PEPTIDE METHIONINE SULFOXIDE REDUCTASE MSRA/M 
3tjf-B,14.2,2.3,134,195,15,PEROXIREDOXIN-4                              
3tkp-D,14.2,2.3,134,197,15,PEROXIREDOXIN-4                              
2nvl-E,14.2,2.3,133,242,19,PROBABLE PEROXIREDOXIN                       
3tjk-C,14.2,2.3,134,195,15,PEROXIREDOXIN-4                              
2z9s-J,14.2,2.3,134,197,17,PEROXIREDOXIN-1                              
4llr-F,14.2,2.3,134,194,18,TRYPAREDOXIN PEROXIDASE                      
5jly-A,14.2,2.5,132,167,16,THIOREDOXIN PEROXIDASE-1                     
3tjk-D,14.2,2.3,134,195,15,PEROXIREDOXIN-4                              
3tkr-B,14.2,2.3,134,197,15,PEROXIREDOXIN-4                              
5ijt-G,14.2,2.5,132,164,19,PEROXIREDOXIN-2                              
3ztl-C,14.2,2.5,134,182,16,THIOREDOXIN PEROXIDASE                       
4kw6-A,14.2,2.4,131,172,18,PEROXIREDOXIN-1                              
4gqf-A,14.2,2.3,127,163,20,THIOL PEROXIDASE                             
3ztl-B,14.2,2.4,134,183,16,THIOREDOXIN PEROXIDASE                       
3tkp-C,14.2,2.3,134,195,15,PEROXIREDOXIN-4                              
3tjk-B,14.2,2.3,134,195,15,PEROXIREDOXIN-4                              
3tjk-A,14.2,2.4,134,195,15,PEROXIREDOXIN-4                              
2z9s-F,14.2,2.3,134,197,17,PEROXIREDOXIN-1                              
3tjf-C,14.2,2.4,134,196,15,PEROXIREDOXIN-4                              
3a2w-H,14.2,2.3,133,244,19,PROBABLE PEROXIREDOXIN                       
2z9s-B,14.2,2.3,134,197,17,PEROXIREDOXIN-1                              
4llr-G,14.2,2.3,134,194,18,TRYPAREDOXIN PEROXIDASE                      
3ztl-H,14.2,2.4,134,178,16,THIOREDOXIN PEROXIDASE                       
2h66-C,14.2,2.3,131,170,22,PV-PF14_0368                                 
4kb3-G,14.2,2.4,130,163,16,PEROXIDOXIN                                  
2h66-D,14.2,2.3,131,169,22,PV-PF14_0368                                 
4xs4-B,14.2,2.3,131,186,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
4l0u-C,14.2,2.3,131,172,22,"2-CYS PEROXIREDOXIN, PUTATIVE                "
4kb3-H,14.2,2.4,130,169,16,PEROXIDOXIN                                  
3vwu-I,14.2,2.4,131,167,15,PEROXIREDOXIN-4                              
3vwu-D,14.2,2.4,131,170,15,PEROXIREDOXIN-4                              
3vwu-G,14.2,2.5,131,167,15,PEROXIREDOXIN-4                              
4kb3-A,14.2,2.4,130,163,16,PEROXIDOXIN                                  
4kb3-C,14.2,2.4,130,162,16,PEROXIDOXIN                                  
3tjb-A,14.2,2.5,131,170,15,PEROXIREDOXIN-4                              
2nvl-H,14.2,2.3,133,242,19,PROBABLE PEROXIREDOXIN                       
4xcs-D,14.2,2.4,134,176,19,PEROXIREDOXIN-1                              
4xcs-B,14.2,2.4,134,176,19,PEROXIREDOXIN-1                              
5hqp-A,14.2,2.6,133,181,14,PEROXIREDOXIN-4                              
3vwu-C,14.2,2.4,131,173,15,PEROXIREDOXIN-4                              
4xcs-E,14.2,2.4,134,177,19,PEROXIREDOXIN-1                              
2h30-A,14.1,2.4,123,151,19,PEPTIDE METHIONINE SULFOXIDE REDUCTASE MSRA/M 
3zlp-e,14.1,2.4,132,162,15,THIOREDOXIN PEROXIDASE                       
4k1f-B,14.1,2.3,134,198,17,TRYPAREDOXIN PEROXIDASE                      
4xcs-C,14.1,2.4,133,179,18,PEROXIREDOXIN-1                              
3tks-D,14.1,2.3,134,197,14,PEROXIREDOXIN-4                              
5jcg-G,14.1,2.3,134,195,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
5jcg-I,14.1,2.3,134,195,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
5jcg-E,14.1,2.3,134,195,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
5jcg-A,14.1,2.3,134,195,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
5jcg-H,14.1,2.3,134,195,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
2cx4-F,14.1,2.2,126,160,20,BACTERIOFERRITIN COMIGRATORY PROTEIN         
5ucx-B,14.1,2.3,134,195,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
2xpd-A,14.1,2.5,130,166,18,THIOL PEROXIDASE                             
2xpd-B,14.1,2.5,130,167,18,THIOL PEROXIDASE                             
3a2v-E,14.1,2.3,133,242,20,PROBABLE PEROXIREDOXIN                       
6krm-C,14.1,2.3,130,244,15,PEROXIREDOXIN                                
3uma-A,14.1,2.4,128,166,14,HYPOTHETICAL PEROXIREDOXIN PROTEIN           
2e2m-I,14.1,2.4,133,237,19,PROBABLE PEROXIREDOXIN                       
5b6n-D,14.1,2.4,133,213,15,PEROXIREDOXIN-6                              
2z9s-G,14.1,2.3,134,197,17,PEROXIREDOXIN-1                              
5ucx-E,14.1,2.3,134,195,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
3tjf-E,14.1,2.4,134,196,15,PEROXIREDOXIN-4                              
2z9s-A,14.1,2.3,134,197,17,PEROXIREDOXIN-1                              
1qmv-B,14.1,2.3,134,197,19,PEROXIREDOXIN-2                              
1qmv-C,14.1,2.3,134,197,19,PEROXIREDOXIN-2                              
3tjk-E,14.1,2.4,134,195,15,PEROXIREDOXIN-4                              
3zlp-C,14.1,2.4,132,165,15,THIOREDOXIN PEROXIDASE                       
6krs-G,14.1,2.3,133,242,19,PEROXIREDOXIN                                
4l0u-D,14.1,2.3,131,171,22,"2-CYS PEROXIREDOXIN, PUTATIVE                "
3ia1-B,14.1,2.4,124,142,27,THIO-DISULFIDE ISOMERASE/THIOREDOXIN         
3vwu-H,14.1,2.4,131,172,15,PEROXIREDOXIN-4                              
4l0u-I,14.1,2.3,131,177,22,"2-CYS PEROXIREDOXIN, PUTATIVE                "
2h66-I,14.1,2.3,131,177,22,PV-PF14_0368                                 
4k1f-D,14.1,2.3,134,196,17,TRYPAREDOXIN PEROXIDASE                      
3tjf-A,14.1,2.4,134,195,15,PEROXIREDOXIN-4                              
3vwu-F,14.1,2.5,132,170,14,PEROXIREDOXIN-4                              
4ma9-B,14.1,2.3,131,186,11,ALKYL HYDROPEROXIDE REDUCTASE SUBUNIT C      
3vwu-A,14.1,2.4,131,172,15,PEROXIREDOXIN-4                              
5ucx-A,14.1,2.3,134,195,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
5jcg-B,14.1,2.3,134,195,18,"THIOREDOXIN-DEPENDENT PEROXIDE REDUCTASE, MIT "
5ept-E,14,2.5,133,178,14,PEROXIREDOXIN TSA2                           
4k1f-C,14,2.3,134,198,17,TRYPAREDOXIN PEROXIDASE                      
4xcs-A,14,2.4,133,179,18,PEROXIREDOXIN-1                              
2rii-B,14,2.3,131,185,18,PEROXIREDOXIN-1                              
4k1f-E,14,2.3,134,197,17,TRYPAREDOXIN PEROXIDASE                      
4xcs-F,14,2.4,133,179,18,PEROXIREDOXIN-1                              
4fh8-F,14,2.3,128,170,14,ACEPRX-1                                     
2xpd-E,14,2.5,130,167,18,THIOL PEROXIDASE                             
2xpd-D,14,2.5,130,167,18,THIOL PEROXIDASE                             
3a2x-C,14,2.3,130,244,15,PROBABLE PEROXIREDOXIN                       
5ijt-F,14,2.3,131,177,15,PEROXIREDOXIN-2                              
6feu-H,14,2.2,133,215,17,PEROXIREDOXIN                                
1x0r-J,14,2.3,130,244,16,PROBABLE PEROXIREDOXIN                       
2nvl-C,14,2.3,130,240,15,PROBABLE PEROXIREDOXIN                       
2e2g-H,14,2.4,133,238,20,PROBABLE PEROXIREDOXIN                       
1x0r-C,14,2.3,133,244,20,PROBABLE PEROXIREDOXIN                       
6gww-B,14,2.3,133,215,17,PEROXIREDOXIN                                
1x0r-B,14,2.3,130,244,16,PROBABLE PEROXIREDOXIN                       
5ovq-I,14,2.2,133,218,17,PEROXIREDOXIN                                
3tks-E,14,2.4,134,197,15,PEROXIREDOXIN-4                              
1qmv-D,14,2.3,134,197,19,PEROXIREDOXIN-2                              
6krp-F,14,2.4,133,243,19,PEROXIREDOXIN                                
3tks-C,14,2.4,134,197,14,PEROXIREDOXIN-4                              
3tks-B,14,2.4,134,197,14,PEROXIREDOXIN-4                              
3p7x-B,14,2.5,131,163,15,PROBABLE THIOL PEROXIDASE                    
2pn8-C,14,2.4,134,191,15,PEROXIREDOXIN-4                              
6krs-E,14,2.3,133,242,19,PEROXIREDOXIN                                
5ijt-H,14,2.4,131,167,18,PEROXIREDOXIN-2                              
6krs-A,14,2.3,133,242,19,PEROXIREDOXIN                                
5ijt-C,14,2.5,128,157,20,PEROXIREDOXIN-2                              
5b6n-A,14,2.2,133,221,17,PEROXIREDOXIN-6                              
3zvj-L,14,2.4,132,171,15,THIOREDOXIN PEROXIDASE                       
4k1f-A,14,2.3,134,198,17,TRYPAREDOXIN PEROXIDASE                      
3zlp-d,14,2.3,131,166,15,THIOREDOXIN PEROXIDASE                       
4kb3-B,14,2.4,130,169,16,PEROXIDOXIN                                  
4kb3-D,14,2.5,131,169,16,PEROXIDOXIN                                  
5ept-H,14,2.4,132,178,14,PEROXIREDOXIN TSA2                           
6krp-E,14,2.3,133,244,19,PEROXIREDOXIN                                
3qpm-A,13.9,2.4,134,195,16,PEROXIREDOXIN                                
4kce-A,13.9,2.6,131,168,16,PEROXIDOXIN                                  
3qpm-C,13.9,2.3,134,194,16,PEROXIREDOXIN                                
3zlp-f,13.9,2.5,132,165,14,THIOREDOXIN PEROXIDASE                       
3qpm-D,13.9,2.4,134,196,16,PEROXIREDOXIN                                
1e2y-I,13.9,2.3,128,170,15,TRYPAREDOXIN PEROXIDASE                      
1e2y-B,13.9,2.3,129,171,15,TRYPAREDOXIN PEROXIDASE                      
6khx-E,13.9,2.4,134,208,21,PEROXIREDOXIN                                
2xpd-C,13.9,2.5,130,170,18,THIOL PEROXIDASE                             
2xpd-F,13.9,2.5,129,165,19,THIOL PEROXIDASE                             
3a2v-I,13.9,2.3,133,242,20,PROBABLE PEROXIREDOXIN                       
3a2x-I,13.9,2.3,133,243,19,PROBABLE PEROXIREDOXIN                       
2i81-A,13.9,2.3,134,193,22,2-CYS PEROXIREDOXIN                          
3a2x-H,13.9,2.3,130,243,15,PROBABLE PEROXIREDOXIN                       
3a5w-H,13.9,2.3,133,243,20,PROBABLE PEROXIREDOXIN                       
2i81-C,13.9,2.3,134,193,22,2-CYS PEROXIREDOXIN                          
2i81-B,13.9,2.3,134,193,22,2-CYS PEROXIREDOXIN                          
6krk-E,13.9,2.3,130,244,15,PEROXIREDOXIN                                
6krr-B,13.9,2.2,130,244,15,PEROXIREDOXIN                                
6krk-H,13.9,2.2,130,244,15,PEROXIREDOXIN                                
6krr-D,13.9,2.2,130,244,15,PEROXIREDOXIN                                
6krr-C,13.9,2.3,130,244,15,PEROXIREDOXIN                                
6krq-B,13.9,2.3,130,244,15,PEROXIREDOXIN                                
6krq-D,13.9,2.3,130,244,15,PEROXIREDOXIN                                
6krm-I,13.9,2.3,130,244,15,PEROXIREDOXIN                                
6krs-I,13.9,2.3,130,242,15,PEROXIREDOXIN                                
6krq-C,13.9,2.3,130,244,15,PEROXIREDOXIN                                
6krm-F,13.9,2.3,133,244,19,PEROXIREDOXIN                                
6krk-B,13.9,2.3,130,244,15,PEROXIREDOXIN                                
2b7k-C,13.9,2.5,128,155,14,SCO1 PROTEIN                                 
2b7k-A,13.9,2.6,129,155,14,SCO1 PROTEIN                                 
5k2j-E,13.9,2.5,129,155,14,1-CYS PEROXIREDOXIN                          
5ijt-J,13.9,2.4,131,176,15,PEROXIREDOXIN-2                              
1e2y-G,13.9,2.3,129,173,15,TRYPAREDOXIN PEROXIDASE                      
1x0r-A,13.9,2.3,130,244,16,PROBABLE PEROXIREDOXIN                       
5ijt-B,13.9,2.5,132,171,19,PEROXIREDOXIN-2                              
2nvl-A,13.9,2.2,130,242,15,PROBABLE PEROXIREDOXIN                       
1x0r-E,13.9,2.3,130,244,16,PROBABLE PEROXIREDOXIN                       
2nvl-I,13.9,2.2,130,242,15,PROBABLE PEROXIREDOXIN                       
2nvl-G,13.9,2.3,130,242,15,PROBABLE PEROXIREDOXIN                       
2nvl-B,13.9,2.3,130,240,15,PROBABLE PEROXIREDOXIN                       
2e2m-G,13.9,2.3,130,238,15,PROBABLE PEROXIREDOXIN                       
1x0r-I,13.9,2.3,133,244,20,PROBABLE PEROXIREDOXIN                       
2nvl-F,13.9,2.3,130,242,15,PROBABLE PEROXIREDOXIN                       
