No,Hit,Z-score,rmsd,lali,nres,%id,Description,,,,,,
324,1t00-A,9.9,2.6,97,112,22,THIOREDOXIN,,,,,,
325,2h70-B,9.9,2.7,97,107,20,THIOREDOXIN,,,,,,
326,1f6m-G,9.9,2.6,97,108,16,THIOREDOXIN,REDUCTASE,,,,,
327,1f6m-D,9.9,2.7,97,108,16,THIOREDOXIN,REDUCTASE,,,,,
328,2oe0-B,9.9,2.5,93,106,19,THIOREDOXIN-3,,,,,,
329,3d21-B,9.9,2.6,97,111,24,THIOREDOXIN,H-TYPE,,,,,
330,1w89-B,9.9,2.4,97,110,16,THIOREDOXIN,,,,,,
331,2oe1-B,9.9,2.5,95,106,19,THIOREDOXIN-3,,,,,,
332,5ykw-A,9.9,2.4,93,106,20,"THIOREDOXIN-3,",MITOCHONDRIAL,,,,,
333,6h7l-F,9.9,2.8,97,107,16,THIOREDOXIN,1,,,,,
334,3qfa-D,9.9,2.8,96,105,17,THIOREDOXIN,REDUCTASE,"1,",CYTOPLASMIC,,,
335,6q6v-B,9.9,2.6,96,112,22,THIOREDOXIN,H-TYPE,,,,,
336,2iwt-A,9.9,2.4,95,108,20,THIOREDOXIN,H,ISOFORM,2,,,
337,1ep7-B,9.9,2.5,95,112,23,THIOREDOXIN,"CH1,",H-TYPE,,,,
338,6q46-B,9.9,2.6,96,112,21,THIOREDOXIN,H-TYPE,,,,,
339,1ep8-B,9.9,2.6,96,112,23,THIOREDOXIN,"CH1,",H-TYPE,,,,
340,6nup-A,9.9,2.5,94,112,13,THIOREDOXIN,,,,,,
341,1syr-I,9.9,2.5,95,102,14,THIOREDOXIN,,,,,,
342,6q47-B,9.9,2.6,96,111,21,THIOREDOXIN,H-TYPE,,,,,
343,1gh2-A,9.9,2.7,96,107,17,THIOREDOXIN-LIKE,PROTEIN,,,,,
344,4v2n-A,9.9,2.8,96,105,21,THIOREDOXIN,,,,,,
345,4aj6-A,9.9,2.7,96,105,21,THIOREDOXIN,,,,,,
346,3pin-A,9.9,2.7,95,104,20,THIOREDOXIN-2,,,,,,
347,4cw9-B,9.9,2.6,96,104,21,THIOREDOXIN,,,,,,
348,2fa4-A,9.9,2.4,94,104,21,THIOREDOXIN,II,,,,,
349,4dss-B,9.9,2.7,95,104,20,PEROXIREDOXIN,TYPE-2,,,,,
350,2oe0-A,9.9,2.5,93,106,20,THIOREDOXIN-3,,,,,,
351,1ep8-A,9.9,2.6,96,112,23,THIOREDOXIN,"CH1,",H-TYPE,,,,
352,1ep7-A,9.9,2.6,96,112,23,THIOREDOXIN,"CH1,",H-TYPE,,,,
353,3hz4-A,9.9,2.5,96,120,20,THIOREDOXIN,,,,,,
354,3qfa-C,9.9,2.6,95,105,17,THIOREDOXIN,REDUCTASE,"1,",CYTOPLASMIC,,,
355,3dxb-C,9.9,2.7,98,211,18,THIOREDOXIN,N-TERMINALLY,FUSED,TO,PUF60(UHM),,
356,3apo-A,9.9,2.7,96,688,15,DNAJ,HOMOLOG,SUBFAMILY,C,MEMBER,10,
357,4pom-A,9.9,2.8,96,107,18,THIOREDOXIN,,,,,,
358,2fa4-B,9.9,2.6,95,104,21,THIOREDOXIN,II,,,,,
359,1w4v-A,9.9,2.4,97,110,16,"THIOREDOXIN,",MITOCHONDRIAL,,,,,
360,2h75-B,9.9,2.6,95,108,20,THIOREDOXIN,,,,,,
361,2h6z-B,9.9,2.6,95,108,20,THIOREDOXIN,,,,,,
362,1syr-B,9.9,2.6,96,102,14,THIOREDOXIN,,,,,,
363,1syr-D,9.9,2.6,96,102,14,THIOREDOXIN,,,,,,
364,6q6u-B,9.9,2.6,96,110,21,THIOREDOXIN,H-TYPE,,,,,
365,6p7e-H,9.9,2.8,96,105,19,DNA-DIRECTED,DNA,POLYMERASE,,,,
366,1w89-F,9.9,2.6,97,108,16,THIOREDOXIN,,,,,,
367,1thx-A,9.8,2.5,96,108,15,THIOREDOXIN,,,,,,
368,3ziv-B,9.8,2.5,95,104,19,AECA,THIOREDOXIN,,,,,
369,2voc-A,9.8,2.6,97,110,16,THIOREDOXIN,,,,,,
370,3nof-B,9.8,2.6,96,107,17,THIOREDOXIN,TRXC,,,,,
371,2oe3-A,9.8,2.6,93,106,20,THIOREDOXIN-3,,,,,,
372,6gd1-B,9.8,2.5,94,186,19,THIOREDOXIN,"1,ELAV-LIKE",PROTEIN,1,,,
373,7bvv-B,9.8,2.6,95,104,20,PEROXIREDOXIN,AHP1,,,,,
374,1syr-C,9.8,2.8,97,103,12,THIOREDOXIN,,,,,,
375,6q6v-A,9.8,2.6,96,112,20,THIOREDOXIN,H-TYPE,,,,,
376,6q46-A,9.8,2.6,96,112,23,THIOREDOXIN,H-TYPE,,,,,
377,1syr-G,9.8,2.6,95,102,14,THIOREDOXIN,,,,,,
378,5jy5-B,9.8,2.8,95,105,17,THIOREDOXIN,,,,,,
379,6i19-A,9.8,2.6,96,111,21,THIOREDOXIN,H-TYPE,,,,,
380,1syr-K,9.8,2.5,94,102,16,THIOREDOXIN,,,,,,
381,4aj8-A,9.8,2.7,96,105,21,THIOREDOXIN,,,,,,
382,3kd0-A,9.8,2.9,96,104,17,THIOREDOXIN,,,,,,
383,1w4v-F,9.8,2.6,97,108,15,"THIOREDOXIN,",MITOCHONDRIAL,,,,,
384,1uvz-F,9.8,2.5,96,108,17,THIOREDOXIN,,,,,,
385,5j7d-C,9.8,2.6,95,106,11,DESIGNED,THIOREDOXIN,DF106,,,,
386,1v98-A,9.8,2.2,86,92,20,THIOREDOXIN,,,,,,
387,2ypm-A,9.8,2.4,94,105,18,LAFCA,THIOREDOXIN,,,,,
388,5j7d-A,9.8,2.7,97,106,10,DESIGNED,THIOREDOXIN,DF106,,,,
389,6h7j-F,9.8,2.7,94,106,17,THIOREDOXIN,1,,,,,
390,2eiq-A,9.8,2.6,92,107,20,THIOREDOXIN,1,,,,,
391,3vww-A,9.8,2.5,97,116,10,PROTEIN,DISULFIDE-ISOMERASE,A6,,,,
392,1syr-J,9.8,2.5,94,102,16,THIOREDOXIN,,,,,,
393,5j7d-E,9.8,2.8,96,106,10,DESIGNED,THIOREDOXIN,DF106,,,,
394,1syr-L,9.8,2.6,96,102,14,THIOREDOXIN,,,,,,
395,1syr-F,9.8,2.6,96,102,14,THIOREDOXIN,,,,,,
396,2pvo-C,9.8,2.7,98,111,22,FERREDOXIN-THIOREDOXIN,"REDUCTASE,",CATALYTIC,CHAIN,,,
397,2h6y-B,9.8,2.7,95,107,20,THIOREDOXIN,,,,,,
398,1f9m-A,9.8,2.7,97,112,24,THIOREDOXIN,F,,,,,
399,3c73-B,9.7,2.5,97,138,19,THIOL-DISULFIDE,OXIDOREDUCTASE,RESA,,,,
400,1dby-A,9.7,2.7,98,107,17,CHLOROPLAST,THIOREDOXIN,M,CH2,,,
401,2pu9-C,9.7,2.7,97,111,23,FERREDOXIN-THIOREDOXIN,"REDUCTASE,",CATALYTIC,CHAIN,,,
402,2bto-T,9.7,2.7,95,103,19,TUBULIN,BTUBA,,,,,
403,4aj8-B,9.7,2.7,96,105,21,THIOREDOXIN,,,,,,
404,3m9k-B,9.7,2.8,94,105,18,THIOREDOXIN,,,,,,
405,1syr-E,9.7,2.6,95,102,14,THIOREDOXIN,,,,,,
406,1syr-A,9.7,2.5,94,103,14,THIOREDOXIN,,,,,,
407,1uvz-D,9.7,2.5,97,109,15,THIOREDOXIN,,,,,,
408,1uvz-E,9.7,2.5,97,110,15,THIOREDOXIN,,,,,,
409,1w4v-B,9.7,2.4,97,110,15,"THIOREDOXIN,",MITOCHONDRIAL,,,,,
410,1ti3-A,9.7,2.5,98,113,21,THIOREDOXIN,H,,,,,
411,3f3q-A,9.7,2.7,96,109,19,THIOREDOXIN-1,,,,,,
412,4xvw-C,9.7,2,87,222,20,DSBA-LIKE,PROTEIN,,,,,
413,6x0b-B,9.7,2.5,95,115,22,THIOREDOXIN,H,,,,,
414,6lur-F,9.7,2.7,98,211,17,THIOREDOXIN,"1,POLY(U)-BINDING-SPLICING",FACTOR,PUF,,,
415,1nsw-D,9.7,2.6,96,105,19,THIOREDOXIN,,,,,,
416,6x0b-A,9.7,2.5,95,116,22,THIOREDOXIN,H,,,,,
417,1w4v-E,9.7,2.6,97,110,16,"THIOREDOXIN,",MITOCHONDRIAL,,,,,
418,3ul3-A,9.6,2.3,89,103,11,THIOREDOXIN,,,,,,
419,2l5l-A,9.6,2.3,95,136,21,THIOREDOXIN,,,,,,
420,4o32-B,9.6,2.3,87,90,11,THIOREDOXIN,,,,,,
421,4o32-C,9.6,2.3,88,91,11,THIOREDOXIN,,,,,,
422,6g61-A,9.6,3.1,99,111,17,THIOREDOXIN,"O1,",MITOCHONDRIAL,,,,
423,4o32-A,9.6,2.3,86,89,12,THIOREDOXIN,,,,,,
424,6q6t-A,9.6,2.5,95,110,22,THIOREDOXIN,H-TYPE,,,,,
425,2vm2-C,9.6,2.5,94,110,24,THIOREDOXIN,H,ISOFORM,1,,,
426,1f9m-B,9.6,3,98,112,23,THIOREDOXIN,F,,,,,
427,4j57-F,9.6,2.6,95,103,15,THIOREDOXIN,REDUCTASE,2,,,,
428,2xbq-A,9.6,2.7,95,105,17,THIOREDOXIN,,,,,,
429,4j57-E,9.6,2.6,95,103,15,THIOREDOXIN,REDUCTASE,2,,,,
430,1v98-B,9.6,2.2,85,89,21,THIOREDOXIN,,,,,,
431,5j7d-D,9.6,2.5,95,106,11,DESIGNED,THIOREDOXIN,DF106,,,,
432,5j7d-H,9.6,2.5,93,105,11,DESIGNED,THIOREDOXIN,DF106,,,,
433,6lyx-A,9.6,2.7,99,117,18,THIOREDOXIN-LIKE,"2-1,",CHLOROPLASTIC,,,,
434,3dxb-B,9.6,2.7,97,211,19,THIOREDOXIN,N-TERMINALLY,FUSED,TO,PUF60(UHM),,
435,6i1c-A,9.6,2.5,95,108,21,THIOREDOXIN,F2,,,,,
436,2l4q-A,9.6,2.6,97,116,15,THIOREDOXIN,,,,,,
437,2h72-B,9.6,2.6,94,107,20,THIOREDOXIN,,,,,,
438,5jy5-A,9.6,2.8,97,105,16,THIOREDOXIN,,,,,,
439,4pob-A,9.6,2.6,95,107,19,THIOREDOXIN,,,,,,
440,3qdn-B,9.5,2.9,97,280,12,PUTATIVE,THIOREDOXIN,PROTEIN,,,,
441,1nsw-B,9.5,2.7,96,105,19,THIOREDOXIN,,,,,,
442,5zf2-A,9.5,2.7,96,103,18,THIOREDOXIN,"(H-TYPE,TRX-H)",,,,,
443,4xvw-J,9.5,2,87,219,20,DSBA-LIKE,PROTEIN,,,,,
444,4ef0-B,9.5,2.6,98,115,10,PROTEIN,DISULFIDE-ISOMERASE,A6,,,,
445,3vww-B,9.5,2.6,97,116,10,PROTEIN,DISULFIDE-ISOMERASE,A6,,,,
446,5ayk-A,9.5,3,101,744,11,DNAJ,HOMOLOG,SUBFAMILY,C,MEMBER,10,
447,2xbq-B,9.5,2.7,95,105,17,THIOREDOXIN,,,,,,
448,3d22-A,9.4,2.7,98,129,22,THIOREDOXIN,H-TYPE,,,,,
449,3ul3-B,9.4,2.4,89,103,11,THIOREDOXIN,,,,,,
450,4j56-H,9.4,2.8,97,105,12,THIOREDOXIN,REDUCTASE,2,,,,
451,1quw-A,9.4,2.9,98,105,18,THIOREDOXIN,,,,,,
452,1kng-A,9.4,2.3,97,144,23,THIOLDISULFIDE,INTERCHANGE,PROTEIN,CYCY,,,
453,4j56-E,9.4,2.7,95,105,13,THIOREDOXIN,REDUCTASE,2,,,,
454,4xvw-T,9.4,1.9,87,221,20,DSBA-LIKE,PROTEIN,,,,,
455,3w8j-A,9.4,2.6,98,121,9,PROTEIN,DISULFIDE-ISOMERASE,A6,,,,
456,3w8j-B,9.4,2.6,98,122,9,PROTEIN,DISULFIDE-ISOMERASE,A6,,,,
457,4ef0-A,9.4,2.5,97,115,10,PROTEIN,DISULFIDE-ISOMERASE,A6,,,,
458,6n7w-I,9.4,3,98,106,19,DNA-DIRECTED,DNA,POLYMERASE,,,,
459,6lyw-B,9.4,2.7,99,118,18,THIOREDOXIN-LIKE,"2-1,",CHLOROPLASTIC,,,,
460,3f3r-A,9.4,2.6,95,106,17,THIOREDOXIN-1,,,,,,
461,6lyx-B,9.4,2.8,100,122,18,THIOREDOXIN-LIKE,"2-1,",CHLOROPLASTIC,,,,
462,6lyw-A,9.4,2.8,100,121,18,THIOREDOXIN-LIKE,"2-1,",CHLOROPLASTIC,,,,
463,3hz4-B,9.3,2.6,96,120,19,THIOREDOXIN,,,,,,
464,3o6t-A,9.3,2.7,97,108,16,THIOREDOXIN,,,,,,
465,3o6t-C,9.3,2.7,97,108,16,THIOREDOXIN,,,,,,
466,4j56-F,9.3,2.7,96,105,13,THIOREDOXIN,REDUCTASE,2,,,,
467,4j56-G,9.3,2.8,97,105,12,THIOREDOXIN,REDUCTASE,2,,,,
468,4f9z-E,9.3,2.7,99,219,11,ENDOPLASMIC,RETICULUM,RESIDENT,PROTEIN,27,,
469,2wz9-A,9.3,2.7,97,120,22,GLUTAREDOXIN-3,,,,,,
470,3apq-B,9.3,3.6,101,201,15,DNAJ,HOMOLOG,SUBFAMILY,C,MEMBER,10,
471,2xbi-A,9.3,2.5,93,108,17,THIOREDOXIN,,,,,,
472,3gl3-A,9.3,2.4,97,141,15,PUTATIVE,THIOLDISULFIDE,INTERCHANGE,PROTEIN,,,
473,5dqy-A,9.3,2.4,92,105,20,THIOREDOXIN,,,,,,
474,4puf-D,9.3,2.5,94,112,18,E3,UBIQUITIN-PROTEIN,LIGASE,SLRP,,,
475,3gl3-B,9.3,2.4,97,141,15,PUTATIVE,THIOLDISULFIDE,INTERCHANGE,PROTEIN,,,
476,4i8b-A,9.3,2.4,92,105,16,THIOREDOXIN,,,,,,
477,2xc2-A,9.3,2.7,95,110,17,THIOREDOXINN,,,,,,
478,4puf-C,9.3,2.6,96,112,17,E3,UBIQUITIN-PROTEIN,LIGASE,SLRP,,,
479,4i8b-B,9.3,2.6,94,105,15,THIOREDOXIN,,,,,,
480,3f3r-B,9.3,2.6,95,104,17,THIOREDOXIN-1,,,,,,
481,1faa-A,9.3,2.7,97,121,23,THIOREDOXIN,F,,,,,
482,5ikn-L,9.3,2.7,96,105,19,DNA-DIRECTED,DNA,POLYMERASE,,,,
483,2i1u-A,9.2,2.8,95,108,18,THIOREDOXIN,,,,,,
484,3o6t-D,9.2,2.6,96,109,17,THIOREDOXIN,,,,,,
485,6gnd-F,9.2,2.4,87,90,11,THIOREDOXIN,REDUCTASE,,,,,
486,6gnd-B,9.2,2.5,89,93,11,THIOREDOXIN,REDUCTASE,,,,,
487,1cqh-A,9.2,2.6,94,105,17,THIOREDOXIN,,,,,,
488,2b5y-A,9.2,2.3,100,148,17,YKUV,PROTEIN,,,,,
489,3gl3-C,9.2,2.3,93,138,16,PUTATIVE,THIOLDISULFIDE,INTERCHANGE,PROTEIN,,,
490,5id4-A,9.2,1.9,86,221,20,DSBA-LIKE,PROTEIN,,,,,
491,4xvw-O,9.2,2,87,220,20,DSBA-LIKE,PROTEIN,,,,,
492,5xoc-B,9.2,2.6,95,133,19,MOTHERS,AGAINST,DECAPENTAPLEGIC,HOMOLOG,3,,
493,1syr-H,9.2,2.6,91,98,13,THIOREDOXIN,,,,,,
494,6g62-A,9.2,2.9,98,115,17,THIOREDOXIN,"O2,",MITOCHONDRIAL,,,,
495,3o6t-B,9.2,2.6,96,110,17,THIOREDOXIN,,,,,,
496,6gc1-C,9.1,2.5,98,551,19,NHL,REPEAT-CONTAINING,PROTEIN,2,,,
497,1r26-A,9.1,2.7,97,113,16,THIOREDOXIN,,,,,,
498,3e3e-B,9.1,2.8,94,105,17,THIOREDOXIN,,,,,,
499,4f9z-D,9.1,2.7,96,219,11,ENDOPLASMIC,RETICULUM,RESIDENT,PROTEIN,27,,
500,4f9z-C,9.1,2.6,96,219,13,ENDOPLASMIC,RETICULUM,RESIDENT,PROTEIN,27,,
501,3aps-A,9.1,2.6,97,114,15,DNAJ,HOMOLOG,SUBFAMILY,C,MEMBER,10,
502,4f9z-B,9.1,2.9,100,219,11,ENDOPLASMIC,RETICULUM,RESIDENT,PROTEIN,27,,
503,3aps-B,9.1,2.7,97,114,15,DNAJ,HOMOLOG,SUBFAMILY,C,MEMBER,10,
504,2f51-A,9.1,2.7,94,111,17,THIOREDOXIN,,,,,,
505,4xvw-A,9.1,2,87,222,20,DSBA-LIKE,PROTEIN,,,,,
506,2f51-B,9.1,3,96,111,17,THIOREDOXIN,,,,,,
507,3gl3-D,9.1,2.4,96,137,16,PUTATIVE,THIOLDISULFIDE,INTERCHANGE,PROTEIN,,,
508,1cqg-A,9.1,2.6,94,105,17,THIOREDOXIN,,,,,,
509,3wgd-C,9.1,2.6,94,112,12,THIOREDOXIN,DOMAIN-CONTAINING,PROTEIN,5,,,
510,5nyl-B,9.1,2.9,97,112,16,THIOREDOXIN-LIKE,PROTEIN,2.1,,,,
511,5ayl-A,9.1,3.1,101,743,11,DNAJ,HOMOLOG,SUBFAMILY,C,MEMBER,10,
512,5nyl-A,9,3,99,119,16,THIOREDOXIN-LIKE,PROTEIN,2.1,,,,
513,2l6c-A,9,3,98,104,21,THIOREDOXIN,,,,,,
514,3lor-D,9,2.3,98,150,15,THIOL-DISULFIDE,ISOMERASE,AND,THIOREDOXINS,,,
515,3apq-A,9,3.5,101,208,15,DNAJ,HOMOLOG,SUBFAMILY,C,MEMBER,10,
516,3lor-C,9,2.3,98,152,15,THIOL-DISULFIDE,ISOMERASE,AND,THIOREDOXINS,,,
517,4f9z-A,9,2.8,99,219,11,ENDOPLASMIC,RETICULUM,RESIDENT,PROTEIN,27,,
518,1zcp-B,9,2.6,94,106,17,THIOREDOXIN,1,,,,,
519,1zcp-C,9,2.5,93,106,17,THIOREDOXIN,1,,,,,
520,2j23-B,9,2.6,95,112,21,THIOREDOXIN,,,,,,
521,6i1c-C,9,2.5,93,107,19,THIOREDOXIN,F2,,,,,
522,2j23-A,9,2.7,96,115,21,THIOREDOXIN,,,,,,
523,2hsy-A,9,2.5,94,104,21,THIOREDOXIN,II,,,,,
524,4xvw-K,9,2.1,88,220,19,DSBA-LIKE,PROTEIN,,,,,
525,5nyn-A,9,2.8,98,119,15,THIOREDOXIN-LIKE,PROTEIN,2.1,,,,
526,5nym-A,9,2.8,98,118,15,THIOREDOXIN-LIKE,PROTEIN,2.1,,,,
527,5nyk-A,9,2.8,98,118,15,THIOREDOXIN-LIKE,PROTEIN,2.1,,,,
528,1mdi-A,9,2.8,97,105,15,THIOREDOXIN,,,,,,
529,5um7-B,8.9,2.5,92,142,14,THIOREDOXIN,SIGNATURE,PROTEIN,,,,
530,3lor-B,8.9,2.3,98,154,15,THIOL-DISULFIDE,ISOMERASE,AND,THIOREDOXINS,,,
531,2mmo-A,8.9,2.7,95,103,13,THIOREDOXIN,,,,,,
532,4pq1-B,8.9,2.4,100,158,19,PUTATIVE,ELECTRON,TRANSPORT,RELATED,PROTEIN,,
533,2b5x-A,8.9,2.4,97,148,19,YKUV,PROTEIN,,,,,
534,3ed3-B,8.9,2.6,97,266,10,PROTEIN,DISULFIDE-ISOMERASE,MPD1,,,,
535,4xvw-L,8.9,2,79,176,20,DSBA-LIKE,PROTEIN,,,,,
536,4xvw-B,8.9,2,87,220,20,DSBA-LIKE,PROTEIN,,,,,
537,4xvw-Y,8.9,2.1,86,222,20,DSBA-LIKE,PROTEIN,,,,,
538,3uvt-B,8.9,2.8,96,107,17,THIOREDOXIN,DOMAIN-CONTAINING,PROTEIN,5,,,
539,2n5a-A,8.9,2.7,94,103,18,THIOREDOXIN-1,,,,,,
540,3lor-A,8.8,2.1,97,154,15,THIOL-DISULFIDE,ISOMERASE,AND,THIOREDOXINS,,,
541,4wxt-A,8.8,2.8,94,108,20,THIOREDOXIN,,,,,,
542,3cmi-A,8.8,3.1,108,143,13,PEROXIREDOXIN,HYR1,,,,,
543,5idr-E,8.8,2,88,221,19,DSBA-LIKE,PROTEIN,,,,,
544,5xwm-A,8.8,2.8,97,346,15,ENDOPLASMIC,RETICULUM,RESIDENT,PROTEIN,44,,
545,4xvw-P,8.8,2,87,222,20,DSBA-LIKE,PROTEIN,,,,,
546,4xvw-H,8.8,2,86,222,20,DSBA-LIKE,PROTEIN,,,,,
547,1mdj-A,8.8,2.9,96,105,17,THIOREDOXIN,,,,,,
548,4el1-A,8.8,2.9,95,452,19,PROTEIN,DISULFIDE-ISOMERASE,,,,,
549,3uvt-A,8.8,2.9,97,106,16,THIOREDOXIN,DOMAIN-CONTAINING,PROTEIN,5,,,
550,5nyo-B,8.8,2.9,99,119,14,THIOREDOXIN-LIKE,PROTEIN,2.1,,,,
551,3ed3-A,8.7,2.6,97,267,10,PROTEIN,DISULFIDE-ISOMERASE,MPD1,,,,
552,3lwa-A,8.7,2.4,99,167,15,SECRETED,THIOL-DISULFIDE,ISOMERASE,,,,
553,1mdk-A,8.7,2.9,96,105,17,THIOREDOXIN,,,,,,
554,6eez-C,8.7,2.2,83,181,12,DSBA-LIKE,DISULFIDE,OXIDOREDUCTASE,,,,
555,1tof-A,8.7,2.7,98,112,21,THIOREDOXIN,H,,,,,
556,6i1c-B,8.7,2.9,95,103,22,THIOREDOXIN,F2,,,,,
557,4cw9-A,8.7,2.5,90,102,20,THIOREDOXIN,,,,,,
558,2p31-B,8.7,2.5,102,155,12,GLUTATHIONE,PEROXIDASE,7,,,,
559,4pq1-A,8.7,2.4,99,157,19,PUTATIVE,ELECTRON,TRANSPORT,RELATED,PROTEIN,,
560,4nwy-B,8.7,3.1,98,118,6,PROTEIN,DISULFIDE-ISOMERASE-LIKE,PROTEIN,OF,THE,T,
561,5xwm-C,8.7,2.9,97,348,15,ENDOPLASMIC,RETICULUM,RESIDENT,PROTEIN,44,,
562,5hqp-C,8.7,2.8,97,323,15,PEROXIREDOXIN-4,,,,,,
563,2p31-A,8.7,2.7,102,155,12,GLUTATHIONE,PEROXIDASE,7,,,,
564,4xvw-M,8.7,2.1,87,220,20,DSBA-LIKE,PROTEIN,,,,,
565,4el1-B,8.7,2.9,95,452,20,PROTEIN,DISULFIDE-ISOMERASE,,,,,
566,1xfl-A,8.7,2.9,98,114,20,THIOREDOXIN,H1,,,,,
567,6i7s-B,8.7,2.9,96,462,20,PROTEIN,DISULFIDE-ISOMERASE,,,,,
568,2mmn-A,8.7,2.9,96,103,13,THIOREDOXIN,,,,,,
569,5e37-C,8.6,3.1,101,310,18,EF-HAND,DOMAIN-CONTAINING,THIOREDOXIN,,,,
570,2wgr-A,8.6,2.9,107,163,5,GLUTATHIONE,PEROXIDASE,,,,,
571,2v1m-A,8.6,2.9,106,163,5,GLUTATHIONE,PEROXIDASE,,,,,
572,5xwm-D,8.6,2.9,97,368,15,ENDOPLASMIC,RETICULUM,RESIDENT,PROTEIN,44,,
573,5h5r-A,8.6,2.9,104,169,5,PHOSPHOLIPID,HYDROPEROXIDE,GLUTATHIONE,PEROXIDASE,,,
574,6ghb-D,8.6,2.2,87,267,14,REGULATORY,PROTEIN,SPX,,,,
575,4xvw-D,8.6,2,87,222,20,DSBA-LIKE,PROTEIN,,,,,
576,4xvw-E,8.6,2,87,215,20,DSBA-LIKE,PROTEIN,,,,,
577,4xvw-F,8.6,2.1,87,222,20,DSBA-LIKE,PROTEIN,,,,,
578,6gww-G,8.6,2.7,104,215,15,PEROXIREDOXIN,,,,,,
579,5crw-A,8.6,3.1,100,242,17,PROTEIN,DISULFIDE-ISOMERASE,,,,,
580,5nyo-A,8.6,3,99,118,15,THIOREDOXIN-LIKE,PROTEIN,2.1,,,,
581,3uj1-A,8.6,2.7,93,99,16,THIOREDOXIN,DOMAIN-CONTAINING,PROTEIN,5,,,
582,5xwm-B,8.6,3,97,354,18,ENDOPLASMIC,RETICULUM,RESIDENT,PROTEIN,44,,
583,4ruv-A,8.5,3,98,106,12,THIOREDOXIN,,,,,,
584,2diy-A,8.5,2.7,97,130,22,THIOREDOXIN-LIKE,PROTEIN,2,,,,
585,3eyt-D,8.5,2.5,99,155,23,UNCHARACTERIZED,PROTEIN,SPOA0173,,,,
586,3eyt-B,8.5,2.5,98,154,23,UNCHARACTERIZED,PROTEIN,SPOA0173,,,,
587,3h79-A,8.5,2.7,96,115,9,THIOREDOXIN-LIKE,PROTEIN,,,,,
588,3idv-A,8.5,2.8,94,235,17,PROTEIN,DISULFIDE-ISOMERASE,A4,,,,
589,6eez-B,8.5,2.1,84,190,12,DSBA-LIKE,DISULFIDE,OXIDOREDUCTASE,,,,
590,5xf7-A,8.5,3,98,464,7,PROTEIN,DISULFIDE-ISOMERASE-LIKE,PROTEIN,OF,THE,T,
591,6eez-A,8.5,2.5,86,186,12,DSBA-LIKE,DISULFIDE,OXIDOREDUCTASE,,,,
592,6iu1-J,8.5,2.7,104,214,15,PEROXIREDOXIN,,,,,,
593,4trx-A,8.5,2.9,96,105,18,THIOREDOXIN,,,,,,
594,5xbr-B,8.5,2.7,102,210,16,PEROXIREDOXIN,,,,,,
595,2p5q-C,8.5,2.7,104,160,13,GLUTATHIONE,PEROXIDASE,5,,,,
596,2p5q-A,8.5,2.6,103,161,13,GLUTATHIONE,PEROXIDASE,5,,,,
597,2n5b-A,8.5,2.7,95,103,19,THIOREDOXIN-1,,,,,,
598,3d6i-A,8.4,2.7,94,110,19,MONOTHIOL,GLUTAREDOXIN-3,,,,,
599,6mos-A,8.4,2.4,83,89,12,THIOREDOXIN,,,,,,
600,5e37-A,8.4,3.1,101,313,18,EF-HAND,DOMAIN-CONTAINING,THIOREDOXIN,,,,
601,2ppt-A,8.4,2.7,98,149,26,THIOREDOXIN-2,,,,,,
602,3eyt-A,8.4,2.5,99,156,23,UNCHARACTERIZED,PROTEIN,SPOA0173,,,,
603,4nwy-A,8.4,3.2,100,128,6,PROTEIN,DISULFIDE-ISOMERASE-LIKE,PROTEIN,OF,THE,T,
604,1tru-A,8.4,3.1,96,105,18,THIOREDOXIN,,,,,,
605,1trs-A,8.4,2.9,95,105,17,THIOREDOXIN,,,,,,
606,1trv-A,8.4,2.9,96,105,18,THIOREDOXIN,,,,,,
607,6iu1-B,8.4,2.6,103,214,16,PEROXIREDOXIN,,,,,,
608,3trx-A,8.4,2.9,96,105,18,THIOREDOXIN,,,,,,
609,6iu1-H,8.4,2.6,103,214,16,PEROXIREDOXIN,,,,,,
610,2p5q-B,8.4,2.7,104,160,12,GLUTATHIONE,PEROXIDASE,5,,,,
611,2p5q-D,8.4,2.6,103,160,13,GLUTATHIONE,PEROXIDASE,5,,,,
612,5e59-A,8.4,2.4,82,231,18,FRNE,PROTEIN,,,,,
613,3eyt-C,8.4,2.5,98,157,23,UNCHARACTERIZED,PROTEIN,SPOA0173,,,,
614,2vup-A,8.4,3.1,109,164,8,GLUTATHIONE,PEROXIDASE-LIKE,PROTEIN,,,,
615,3wt1-A,8.4,3,98,244,17,PROTEIN,DISULFIDE-ISOMERASE,,,,,
616,3wt1-D,8.4,3,98,242,17,PROTEIN,DISULFIDE-ISOMERASE,,,,,
617,3wt1-C,8.4,3,98,242,17,PROTEIN,DISULFIDE-ISOMERASE,,,,,
618,1trw-A,8.4,2.9,96,105,18,THIOREDOXIN,,,,,,
619,3wt1-B,8.4,3,98,242,17,PROTEIN,DISULFIDE-ISOMERASE,,,,,
620,3kcm-D,8.3,2.6,97,142,22,THIOREDOXIN,FAMILY,PROTEIN,,,,
621,2l57-A,8.3,2.3,90,126,20,UNCHARACTERIZED,PROTEIN,,,,,
622,4euy-A,8.3,2.2,81,86,14,UNCHARACTERIZED,PROTEIN,,,,,
623,5um7-A,8.3,2.4,91,140,14,THIOREDOXIN,SIGNATURE,PROTEIN,,,,
